fechas,idHoras,EC_Abrera,EC_suriaDesf,QBaells_Desf,QBalsanery_Desf,QBerga_Desf,QCardona_Desf,QSuria_Desf,Prep_Desf
42892.1250,59103,1365.6400,4876.6100,5.6230,5.6750,6.1060,3.7090,1.7240,0.0000
42892.1667,59104,1355.0600,4889.7200,5.6220,5.6820,6.0250,3.5630,1.8160,0.0000
42892.2083,59105,1369.8800,4813.6000,5.6190,5.6550,6.0600,3.5600,1.8680,0.0000
42892.2500,59106,1362.3300,4789.8400,5.6190,5.6320,6.1930,3.5630,1.8800,0.0000
42892.2917,59107,1351.2000,4660.4400,5.6200,5.6230,6.1100,3.5600,1.8750,0.0000
42892.3333,59108,1348.3000,4581.8500,5.6200,5.6500,6.0430,3.4860,1.8710,0.0000
42892.3750,59109,1338.8000,4685.5600,5.6250,5.6320,5.9960,3.4860,1.8690,0.0000
42892.4167,59110,1336.6000,4588.9500,5.6280,5.6300,6.0120,3.4870,1.8660,0.0000
42892.4583,59111,1333.5600,4574.0900,5.6320,5.7290,6.2110,3.4170,1.8710,0.0000
42892.5000,59112,1322.7300,4562.0900,5.6310,5.6940,6.1340,3.4870,1.5420,0.0000
42892.5417,59113,1318.2200,4670.6100,5.6320,5.6650,6.2200,3.4190,1.7290,0.0000
42892.5833,59114,1318.4000,4565.2100,5.6310,5.6420,6.2030,3.3500,1.8550,0.0000
42892.6250,59115,1308.5400,4497.6700,5.6310,5.6330,6.0770,3.4200,1.8650,0.0000
42892.6667,59116,1304.4000,4547.7400,5.6270,5.6290,6.0800,3.4170,1.7980,0.0000
42892.7083,59117,1296.7700,4537.5900,5.6260,5.6270,6.0450,3.4190,1.6960,0.0000
42892.7500,59118,1288.4200,4392.7500,5.6270,5.6270,6.0120,3.4190,1.6910,0.0000
42892.7917,59119,1274.9200,4396.0100,5.6280,6.2580,6.0060,3.4190,1.6930,0.0000
42892.8333,59120,1275.8100,4512.2500,5.6290,6.3550,6.0400,3.4190,1.6930,0.0000
42892.8750,59121,1255.8200,4445.6200,5.6270,6.3580,6.0410,3.4170,1.6930,0.0000
42892.9167,59122,1239.1800,4276.9200,5.6290,6.4320,6.0230,3.4170,1.6950,0.0000
42892.9583,59123,1224.1400,4288.0700,5.6300,6.4130,6.1390,3.4160,1.6950,0.0000
42893.0000,59124,1205.1700,4341.5600,5.6230,6.0720,5.9420,3.4170,1.6970,0.0000
42893.0417,59125,1193.8800,4221.6800,5.6200,5.7540,5.6110,3.4160,1.6850,0.0000
42893.0833,59126,1179.8000,4237.7000,5.6210,6.0500,5.8870,3.3480,1.6600,0.0000
42893.1250,59127,1171.4100,4113.6100,5.6200,6.1270,6.2360,3.4860,1.5910,0.0000
42893.1667,59128,1164.9500,3975.4500,5.6210,6.3750,6.2060,3.4160,1.5840,0.0000
42893.2083,59129,1159.5600,4009.9600,5.6270,6.8980,6.0810,3.3480,1.5830,0.0000
42893.2500,59130,1160.6000,3958.2600,5.6270,6.9860,5.9290,3.5010,1.5740,0.0000
42893.2917,59131,1168.3000,4020.9600,5.6290,6.7180,5.8740,3.3480,1.5670,0.0000
42893.3333,59132,1237.1100,4029.4300,5.6300,7.1000,5.9770,3.3490,1.5580,0.0000
42893.3750,59133,1252.9200,3998.2400,5.6310,7.1540,5.9530,3.4190,1.5620,0.0000
42893.4167,59134,1295.9300,4008.3500,5.6320,7.3030,5.9550,3.2820,1.5660,0.0000
42893.4583,59135,1321.9800,3956.0200,5.6280,7.3240,5.8300,3.3550,1.5670,0.0000
42893.5000,59136,1367.0000,3963.8000,5.6330,7.5320,5.8130,3.3550,1.5700,0.0000
42893.5417,59137,1420.8000,4032.9700,5.6330,7.0380,5.8970,3.3570,1.3220,0.0000
42893.5833,59138,1468.2000,3983.8500,5.6320,6.7740,5.9100,3.3420,1.1650,0.0000
42893.6250,59139,1529.4800,3938.8800,5.6330,6.5730,5.9090,3.3570,1.7930,0.0000
42893.6667,59140,1585.9200,3921.2700,5.6260,7.8770,5.9530,3.3570,1.8420,0.0000
42893.7083,59141,1638.8000,3903.7400,5.6220,5.7790,5.9850,3.3570,1.6830,0.0000
42893.7500,59142,1685.4800,3913.0000,5.6220,5.8060,5.8950,3.3570,1.5890,0.0000
42893.8333,59144,1757.3200,3926.3900,5.6230,7.5940,5.9260,3.3560,1.5920,0.0000
42893.8750,59145,1779.7600,3771.6300,5.6200,7.5650,5.9630,3.3570,1.5920,0.0000
42893.9167,59146,1788.0200,3854.7600,5.6180,7.6290,5.8850,3.3570,1.5920,0.0000
42893.9583,59147,1786.0200,3817.3900,5.6180,7.6870,5.8640,3.3550,1.5930,0.0000
42894.0000,59148,1789.2000,3785.9400,5.6160,7.3000,6.1140,3.3570,1.5920,0.0000
42894.0417,59149,1776.2000,3786.2900,5.6160,7.0350,6.5660,3.3510,1.5820,0.0000
42894.0833,59150,1752.7900,3731.8400,5.6190,6.8130,6.6850,3.3530,1.8230,0.0000
42894.1250,59151,1721.6600,3791.0100,5.6200,6.4890,6.5290,3.3550,1.8290,0.0000
42894.1667,59152,1702.0000,3765.9000,5.6160,6.3410,6.6040,3.3490,1.8100,0.0000
42894.2083,59153,1679.4000,3656.5200,5.6160,5.9500,6.5070,3.3480,1.5390,0.0000
42894.2500,59154,1663.2400,3619.9300,5.6140,5.9350,6.1900,3.3530,1.5040,0.0000
42894.2917,59155,1647.3800,3543.2500,5.6130,5.5120,6.1390,3.3530,1.4970,0.0000
42894.3333,59156,1637.6400,3590.5200,5.6170,5.5370,6.1860,3.3550,1.5000,0.0000
42894.3750,59157,1628.2000,3476.3500,5.6230,5.5360,6.4780,3.3570,1.5020,0.0000
42894.4167,59158,1611.9600,3450.3700,5.6280,5.5940,6.6080,3.3570,1.5070,0.0000
42894.4583,59159,1594.1700,3521.7700,5.2840,5.6120,6.7280,3.5500,1.5080,0.0000
42894.5000,59160,1575.1100,3432.5200,5.2010,5.6190,6.8040,3.2210,1.4810,0.0000
