QB1,QB31,QB4,QB7,QFV1,QFV2,HB1,HB31,HB7,HFV1,HFV2,3dHB1,3dHB31,3dHB7,3dHFV1,3dHFV2,1sHB1,1sHB31,1sHB7,1sHFV1,1sHFV2
16,5,16,9,13,6,811.99,782.37,786.84,780.79,784.41,811.84,782.27,787.34,780.74,784.61,812.09,782.37,787.44,780.99,787.41
16,5,16,9,13,6,811.99,782.37,787.34,780.74,784.31,811.84,782.27,787.34,780.74,784.61,811.99,782.37,787.34,780.49,787.41
18,5,18,9,13,7,811.79,782.37,786.74,780.74,782.81,811.84,782.27,787.34,780.74,784.61,811.99,782.32,787.34,780.89,787.51
18,5,18,9,13,7,811.79,782.37,786.74,780.74,782.81,811.99,782.37,786.84,780.79,784.41,811.89,782.32,787.34,780.79,784.71
18,5,18,9,13,7,811.69,782.12,786.14,780.29,782.41,811.99,782.37,787.34,780.74,784.31,811.84,782.27,787.34,780.74,784.61
18,5,18,9,13,7,811.69,782.12,786.14,780.29,782.41,811.79,782.37,786.74,780.74,782.81,811.84,782.27,787.34,780.74,784.61
18,5,18,9,13,7,811.29,781.92,785.74,779.99,782.11,811.79,782.37,786.74,780.74,782.81,811.84,782.27,787.34,780.74,784.61
18,5,18,9,13,7,811.29,781.92,785.74,779.99,782.11,811.69,782.12,786.14,780.29,782.41,811.99,782.37,786.84,780.79,784.41
18,5,18,9,13,7,811.19,781.87,785.69,779.99,782.06,811.69,782.12,786.14,780.29,782.41,811.99,782.37,787.34,780.74,784.31
18,5,18,9,13,7,811.14,781.77,785.44,779.89,781.91,811.29,781.92,785.74,779.99,782.11,811.79,782.37,786.74,780.74,782.81
18,5,18,9,13,7,811.29,781.77,785.34,779.89,781.81,811.29,781.92,785.74,779.99,782.11,811.79,782.37,786.74,780.74,782.81
18,5,18,9,13,7,811.39,781.72,785.24,779.69,781.71,811.19,781.87,785.69,779.99,782.06,811.69,782.12,786.14,780.29,782.41
18,5,18,9,13,7,811.39,781.72,785.24,779.69,781.71,811.14,781.77,785.44,779.89,781.91,811.69,782.12,786.14,780.29,782.41
18,5,18,9,13,7,811.19,781.67,784.64,779.34,780.91,811.29,781.77,785.34,779.89,781.81,811.29,781.92,785.74,779.99,782.11
16,5,18,9,13,7,811.19,781.67,784.64,779.34,780.91,811.39,781.72,785.24,779.69,781.71,811.29,781.92,785.74,779.99,782.11
18,5,18,9,13,7,811.14,781.67,784.54,779.29,781.11,811.39,781.72,785.24,779.69,781.71,811.19,781.87,785.69,779.99,782.06
18,5,18,9,13,7,811.09,781.67,784.34,779.19,781.11,811.19,781.67,784.64,779.34,780.91,811.14,781.77,785.44,779.89,781.91
18,5,18,9,13,7,810.99,781.67,784.14,779.09,780.81,811.19,781.67,784.64,779.34,780.91,811.29,781.77,785.34,779.89,781.81
18,5,18,9,13,7,810.89,781.57,784.09,779.04,780.81,811.14,781.67,784.54,779.29,781.11,811.39,781.72,785.24,779.69,781.71
18,5,18,9,13,7,810.39,781.57,784.09,779.04,780.81,811.09,781.67,784.34,779.19,781.11,811.39,781.72,785.24,779.69,781.71
18,5,18,9,13,7,810.19,781.07,783.44,778.69,780.31,810.99,781.67,784.14,779.09,780.81,811.19,781.67,784.64,779.34,780.91
18,5,18,9,13,7,810.19,781.07,783.44,778.69,780.31,810.89,781.57,784.09,779.04,780.81,811.19,781.67,784.64,779.34,780.91
18,5,18,9,13,7,810.04,780.97,783.24,778.59,780.11,810.39,781.57,784.09,779.04,780.81,811.14,781.67,784.54,779.29,781.11
